RP Experience Table, Credit to: nerdassault.com.br

LEVEL		RP NECESSARY			RP TO NEXT LEVEL
1		0			800
2		800 			1300
3		2100 			1700
4		3800 			2300
5		6100 			3400
6		9500 			3000
7		12500 			3500
8		16000 			3800
9		19800 			4200
10		24000 			4500
11		28500 			4900
12		33400 			5300
13		38700 			5500
14		44200 			6000
15		50200 			6200
16		56400 			6600
17		63000 			6900
18		69900 			7200
19		77100 			7600
20		84700 			7800
21		92500 			8200
22		100700 			8500
23		109200 			8800
24		118000 			9100
25		127100 			9400
26		136500 			9700
27		146200 			10000
28		156200 			10300
29		166500 			10600
30		177100 			10900
31		188000 			11200
32		199200 			11500
33		210700 			11700
34		222400 			12100
35		234500 			12300
36		246800 			12600
37		259400 			12900
38		272300 			13200
39		285500 			13500
40		299000 			13700
41		312700 			14100
42		326800 			14200
43		341000 			14600
44		355600 			14900
45		370500 			15100
46		385600 			15400
47		401000 			15600
48		416600 			16000
49		432600 			16200
50		448800 			16400
51		465200 			16800
52		482000 			17000
53		499000 			17300
54		516300 			17500
55		533800 			17800
56		551600 			18000
57		569600 			18400
58		588000 			18500
59		606500 			18900
60		625400 			19100
61		644500 			19300
62		663800 			19600
63		683400 			19900
64		703300 			20100
65		723400 			20400
66		743800 			20700
67		764500 			20900
68		785400 			21100
69		806500 			21400
70		827900 			21700
71		849600 			21900
72		871500 			22100
73		893600 			22400
74		916000 			22700
75		938700 			22900
76		961600 			23100
77		984700 			23400
78		1008100 		23700
79		1031800 		23900
80		1055700 		24100
81		1079800 		24400
82		1104200 		24600
83		1128800 		24900
84		1153700 		25100
85		1178800 		25400
86		1204200 		25600
87		1229800 		25800
88		1255600 		26100
89		1281700 		26400
90		1308100 		26500
91		1334600 		26800
92		1361400 		27100
93		1388500 		27300
94		1415800 		27500
95		1443300 		27800
96		1471100 		28000
97		1499100 		28200
98		1527300 		28500
99		1555800 		28550
100		1584350 		28600
101		1612950 		28650
102		1641600 		28700
103		1670300 		28750
104		1699050 		28800
105		1727850 		28850
106		1756700 		28900
107		1785600 		28950
108		1814550 		29000
109		1843550 		29050
110		1872600 		29100
111		1901700 		29150
112		1930850 		29200
113		1960050 		29250
114		1989300 		29300
115		2018600 		29350
116		2047950 		29400
117		2077350 		29450
118		2106800 		29500
119		2136300 		29550
120		2165850 		29600
121		2195450 		29650
122		2225100 		29700
123		2254800 		29750
124		2284550 		29800
125		2314350 		29850
126		2344200 		29900
127		2374100 		29950
128		2404050 		30000
129		2434050 		30050
130		2464100 		30100
131		2494200 		30150
132		2524350 		30200
133		2554550 		30250
134		2584800 		30300
135		2615100 		30350
136		2645450 		30400
137		2675850 		30450
138		2706300 		30500
139		2736800 		30550
140		2767350 		30600
141		2797950 		30650
142		2828600 		30700
143		2859300 		30750
144		2890050 		30800
145		2920850 		30850
146		2951700 		30900
147		2982600 		30950
148		3013550 		31000
149		3044550 		31050
150		3075600 		31100
151		3106700 		31150
152		3137850 		31200
153		3169050 		31250
154		3200300 		31300
155		3231600 		31350
156		3262950 		31400
157		3294350 		31450
158		3325800 		31500
159		3357300 		31550
160		3388850 		31600
161		3420450 		31650
162		3452100 		31700
163		3483800 		31750
164		3515550 		31800
165		3547350 		31850
166		3579200 		31900
167		3611100 		31950
168		3643050 		32000
169		3675050 		32050
170		3707100 		32100
171		3739200 		32150
172		3771350 		32200
173		3803550 		32250
174		3835800 		32300
175		3868100 		32350
176		3900450 		32400
177		3932850 		32450
178		3965300 		32500
179		3997800 		32550
180		4030350 		32600
181		4062950 		32650
182		4095600 		32700
183		4128300 		32750
184		4161050 		32800
185		4193850 		32850
186		4226700 		32900
187		4259600 		32950
188		4292550 		33000
189		4325550 		33050
190		4358600 		33100
191		4391700 		33150
192		4424850 		33200
193		4458050 		33250
194		4491300 		33300
195		4524600 		33350
196		4557950 		33400
197		4591350 		33450
198		4624800 		33500
199		4658300 		33550
200		4691850 		33600
201		4725450 		33650
202		4759100 		33700
203		4792800 		33750
204		4826550 		33800
205		4860350 		33850
206		4894200 		33900
207		4928100 		33950
208		4962050 		34000
209		4996050 		34050
210		5030100 		34100
211		5064200 		34150
212		5098350 		34200
213		5132550 		34250
214		5166800 		34300
215		5201100 		34350
216		5235450 		34400
217		5269850 		34450
218		5304300 		34500
219		5338800 		34550
220		5373350 		34600
221		5407950 		34650
222		5442600 		34700
223		5477300 		34750
224		5512050 		34800
225		5546850 		34850
226		5581700 		34900
227		5616600 		34950
228		5651550 		35000
229		5686550 		35050
230		5721600 		35100
231		5756700 		35150
232		5791850 		35200
233		5827050 		35250
234		5862300 		35300
235		5897600 		35350
236		5932950 		35400
237		5968350 		35450
238		6003800 		35500
239		6039300 		35550
240		6074850 		35600
241		6110450 		35650
242		6146100 		35700
243		6181800 		35750
244		6217550 		35800
245		6253350 		35850
246		6289200 		35900
247		6325100 		35950
248		6361050 		36000
249		6397050 		36050
250		6433100 		36100
251		6469200 		36150
252		6505350 		36200
253		6541550 		36250
254		6577800 		36300
255		6614100 		36350
256		6650450 		36400
257		6686850 		36450
258		6723300 		36500
259		6759800 		36550
260		6796350 		36600
261		6832950 		36650
262		6869600 		36700
263		6906300 		36750
264		6943050 		36800
265		6979850 		36850
266		7016700 		36900
267		7053600 		36950
268		7090550 		37000
269		7127550 		37050
270		7164600 		37100
271		7201700 		37150
272		7238850 		37200
273		7276050 		37250
274		7313300 		37300
275		7350600 		37350
276		7387950 		37400
277		7425350 		37450
278		7462800 		37500
279		7500300 		37550
280		7537850 		37600
281		7575450 		37650
282		7613100 		37700
283		7650800 		37750
284		7688550 		37800
285		7726350 		37850
286		7764200 		37900
287		7802100 		37950
288		7840050 		38000
289		7878050 		38050
290		7916100 		38100
291		7954200 		38150
292		7992350 		38200
293		8030550 		38250
294		8068800 		38300
295		8107100 		38350
296		8145450 		38400
297		8183850 		38450
298		8222300 		38500
299		8260800 		38550
300		8299350 		38600
301		8337950 		38650
302		8376600 		38700
303		8415300 		38750
304		8454050 		38800
305		8492850 		38850
306		8531700 		38900
307		8570600 		38950
308		8609550 		39000
309		8648550 		39050
310		8687600 		39100
311		8726700 		39150
312		8765850 		39200
313		8805050 		39250
314		8844300 		39300
315		8883600 		39350
316		8922950 		39400
317		8962350 		39450
318		9001800 		39500
319		9041300 		39550
320		9080850 		39600
321		9120450 		39650
322		9160100 		39700
323		9199800 		39750
324		9239550 		39800
325		9279350 		39850
326		9319200 		39900
327		9359100 		39950
328		9399050 		40000
329		9439050 		40050
330		9479100 		40100
331		9519200 		40150
332		9559350 		40200
333		9599550 		40250
334		9639800 		40300
335		9680100 		40350
336		9720450 		40400
337		9760850 		40450
338		9801300 		40500
339		9841800 		40550
340		9882350 		40600
341		9922950 		40650
342		9963600 		40700
343		10004300 		40750
344		10045050 		40800
